z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0077499999999999999,-0.31120738271773246,56.888772705151496,973.09304065222,0.3554008626320623,0.00037637722405871955,1.5528929831443613e-05,9.3621831828842193e-05,0.1596749555720296,0.00014640132912184588,0.061404135161625358,4.0305646879539126e-05,6.6044581973372554e-06,1.5542502643132994e-25,1.4197327958557052e-23,4.7971315877145384e-20,3.0784649419787593e-21,1.3280012969211723e-17,8.35233086101046e-16,0.00059274744969906696,0.014991696100270794,8.5723447276725152e-12,2.0458467500967007e-13,2.1634239435402734e-19,6.4675355139403295e-19,1.7511389186190906e-17,3.3934284556297797e-25,2.5624106828037632e-19,3.7108805515670951e-24,2.4336835653901904e-21,9.8398122895635636e-25,6.1785264619347246e-25,1.9222417341556565e-20,1.5144875075595143e-17,1.2872890901892593e-19,4.248961801514575e-13,1.362547694172157e-11,6.0863833539618775e-13,1.8122000659170661e-12,6.2068104179296536e-12,3.8738931855530003e-05,2.4158751394675831e-06,1.8501044978015956e-07,5.0644380035311651e-09,8.6222439764999602e-16,7.7181819053297452e-10,2.0934948467554354e-14,2.3016900838243864e-25,2.6243842919956855e-13,1.6815212637354252e-12,2.1305219301075725e-10,3.9803770307430366e-12,0.7529449211681839,0.0096713592241184521,9.3940147154252368e-35,5.5378799512927292e-35,2.678228090947135e-20,8.1071361529809208e-23
0.0078125,-0.29451953504735218,55.625213035160975,901.42160315157093,0.38436599703397545,0.00035431101855739358,6.6405531500206719e-06,5.266627133846755e-05,0.16585858276546295,8.8815630290181669e-05,0.055266128999206313,3.5464051721499572e-05,6.4323966695329101e-06,9.4535420217722762e-27,1.8640639721722563e-24,1.501715286073398e-20,1.184094379119553e-21,8.1173035882639193e-18,7.0172711305940069e-16,0.00051113525445110278,0.012742841922368275,3.313964101129447e-12,1.3514070627268499e-13,6.6879383398863379e-20,5.4045590760166341e-19,1.6026046603904491e-17,6.7578599317953439e-26,1.8304934924180274e-19,1.1415504993114224e-24,1.7192938404950924e-21,4.9114642072441886e-25,3.8613497147261739e-25,7.0310169807326524e-21,1.0087995953130758e-17,1.0170390539451415e-19,1.6419040519344387e-13,7.2897715630413461e-12,4.0009703538197949e-13,1.5153391877282306e-12,2.0690077758920143e-12,3.26091687895135e-05,3.4250926557620787e-06,1.5704718416543376e-07,3.8914497615040087e-09,2.4698628004849648e-16,6.5875694863091038e-10,2.240271962974385e-14,3.7975753137724867e-26,2.1879922614842632e-13,1.4086227950817716e-12,1.7937496871057192e-10,2.5576512048400208e-12,0.75533849595545854,0.0097022891240189386,4.5682823382786507e-34,1.0135686583611294e-34,1.673062524263798e-20,5.2859065390948767e-23
0.0078750000000000001,-0.27816916548466919,54.376990837629492,832.66165499379122,0.41685526320005023,0.00033460962353120619,2.5414806576572554e-06,2.972382376147765e-05,0.17159373822505167,5.3725855964370799e-05,0.049359680842379086,2.8479046978407248e-05,5.9446272864427533e-06,-1.5051108841350903e-27,2.4541754840902484e-25,5.2067151622826373e-21,4.5820484541807225e-22,4.9658356223277298e-18,5.9810600950582952e-16,0.00043894496278309135,0.010720506872458811,1.1401814645972437e-12,8.5197265348943382e-14,1.7519299135885575e-20,4.371618752890947e-19,1.4393047956422481e-17,1.3204919398833558e-26,1.394868978215517e-19,3.2979606774199394e-25,1.2895362339268601e-21,2.1948101266482257e-25,2.0003013603588974e-25,2.7114707487700675e-21,7.1073309570965757e-18,8.2086931474956659e-20,6.1709448056719713e-14,3.6831782799476612e-12,2.691112608855959e-13,1.2839452669366845e-12,5.9563715124986844e-13,2.697234556975708e-05,4.3201711856018175e-06,1.3188951379712413e-07,2.7821611202730447e-09,6.5535367782766153e-17,5.5767613355527212e-10,2.410008907843631e-14,6.3433776468159113e-27,1.824512371186341e-13,1.1780118633631773e-12,1.5003154222679718e-10,1.6082778428724561e-12,0.75766844324573224,0.0097322334871651241,1.1838050780208857e-33,1.4650567400671091e-34,8.7885077869007256e-21,3.3947786756420529e-23
0.0079375000000000001,-0.26238878374379559,53.152690811049389,767.46110960540659,0.4530608169443615,0.00031618201252558861,8.7997738094132978e-07,1.7140668710400173e-05,0.17687014743029211,3.2864143893950895e-05,0.043723759589930432,2.1058755295981385e-05,5.3078487475373697e-06,2.5252161887091676e-26,3.2324927257145703e-26,1.9637026051501305e-21,1.7880589447026912e-22,3.0222883251575272e-18,5.119135901244162e-16,0.00037467584700937631,0.0089223807878615214,3.5244495800789173e-13,5.309899122401961e-14,4.1211467088242499e-21,3.3617541199351835e-19,1.262820018855095e-17,2.4868516950102081e-27,1.0997658444517255e-19,8.9569130881975298e-26,9.999807863195258e-22,8.6921895509390406e-26,5.3263502828958963e-26,1.0971896531632825e-21,5.1917767166384065e-18,6.6423352317787373e-20,2.2864038067793951e-14,1.7341162492503958e-12,1.8614504139356967e-13,1.0945051780880662e-12,1.4927290260044745e-13,2.2033139355095467e-05,4.8831341874716147e-06,1.0955111750211106e-07,1.8910847613996154e-09,1.621183302210892e-17,4.6742852141963191e-10,2.5886871471676015e-14,1.0684754872690129e-27,1.5120912472651338e-13,9.7772186014335745e-13,1.2438742972538252e-10,9.8292271453320648e-13,0.75992747972056907,0.0097610949044914883,2.093382679544983e-33,1.7277746847290971e-34,3.8190811283253981e-21,2.1675620451601134e-23
0.0080000000000000002,-0.24739193522010144,51.96157237088633,706.36054926139798,0.49308194419764684,0.00029841541802693718,2.8549348957245054e-07,1.017513128171595e-05,0.18167808217108486,2.05221906719493e-05,0.03839526376896342,1.4661077554590595e-05,4.6318423556434493e-06,1.3150148672677086e-29,4.2893948364388563e-27,7.7934951836096368e-22,7.056192663540924e-23,1.8227892265840957e-18,4.3738397686005207e-16,0.00031747844186979347,0.0073439920502072781,1.0120667575639543e-13,3.3629251110064045e-14,9.5814980494893994e-22,2.3999039459397677e-19,1.0826496469906799e-17,4.4724938365844501e-28,8.8015871622849244e-20,2.3526803969341133e-26,7.8800041599474257e-22,3.1022130547715652e-26,-6.067440807975777e-26,4.6283322752348656e-22,3.8719143496849889e-18,5.3400720829126864e-20,8.5271511025993735e-15,7.6273786369563699e-13,1.32385861094381e-13,9.3380345730246585e-13,3.3659525803779372e-14,1.7863369838966908e-05,5.0460413063417305e-06,8.9982455157397357e-08,1.2583190845228086e-09,3.7579724933551965e-18,3.8752448573405661e-10,2.6957089679360136e-14,1.822070681782061e-28,1.241591138961467e-13,8.0333140172792857e-13,1.0209724570967389e-10,5.8152929250816678e-13,0.76210476072957944,0.0097887305398310243,2.7197072822181087e-33,1.738537605091941e-34,1.4135145246283037e-21,1.3943089466891283e-23
0.0080625000000000002,-0.23337947604926124,50.813287460313511,649.81463360120517,0.536854349864942,0.00028098948053243144,9.1777287497555396e-08,6.2039784566082146e-06,0.18601010683728395,1.3115252119345023e-05,0.033409791734206683,9.8574059831165831e-06,3.9763623183175091e-06,5.083648121886538e-27,-6.2177475514777405e-28,3.1791172480212836e-22,2.8093893013356053e-23,1.0859440747776943e-18,3.7184550255814352e-16,0.00026685667677723494,0.005978571198251092,2.8494989867700331e-14,2.1871526599860027e-14,2.4816746346126552e-22,1.5766871172008715e-19,9.0868814826198654e-18,7.6464519079637883e-29,7.0718662397659435e-20,6.2612342774498632e-27,6.2451122637858214e-22,1.0302568683117798e-26,-1.4550717612279632e-25,2.0173211513250362e-22,2.9173403652557228e-18,4.250370335475093e-20,3.2392137294359855e-15,3.1620361237637908e-13,9.6392690270291793e-14,7.9452607810853869e-13,7.2175465231744802e-15,1.4416556763461246e-05,4.8713202769427152e-06,7.3093794405586559e-08,8.3898961736074364e-10,8.1824412786342376e-19,3.1766975151851612e-10,2.6345214333112452e-14,8.3073909259008142e-29,1.0089467975619455e-13,6.5297849387384308e-13,8.2930453069311235e-11,3.3261129662412964e-13,0.7641861206125744,0.0098149564714032859,2.8505827330501025e-33,1.5648309252922174e-34,4.7262871759884407e-22,9.0905843996244201e-24
0.0081250000000000003,-0.22054311258083381,49.717498436644917,598.20391412612514,0.5840609663150907,0.00026376764863400733,2.9861990773242285e-08,3.8499668449898537e-06,0.18986273085852315,8.5462742514937589e-06,0.028801482667415307,6.5214934872025103e-06,3.3709536473481281e-06,-6.6196384519830919e-27,8.5553867111573535e-29,1.3108836521366788e-22,1.1185856025308376e-23,6.3675269745539731e-19,3.1405228233445698e-16,0.00022248166561706568,0.0048168263914888428,8.020018258534317e-15,1.4579002578890066e-14,7.706138082434682e-23,9.6298462281053598e-20,7.486287081112988e-18,1.2424337970971037e-29,5.6716954668293547e-20,1.7234269713270258e-27,4.9493367474939444e-22,3.1208642193175574e-27,-2.0323702802525493e-25,8.989480912965218e-23,2.207143776596728e-18,3.3477601114621703e-20,1.2059237095003734e-15,1.2141946599087368e-13,7.1453576296679846e-14,6.726633085657748e-13,1.5061396447004328e-15,1.1596472898502194e-05,4.4715584755319569e-06,5.8760872336135984e-08,5.6627928980904367e-10,1.6765475842291751e-19,2.5756288217186134e-10,2.4012931789640463e-14,5.9918679226503311e-30,8.1161836248336318e-14,5.2532908062839651e-13,6.6688942232388743e-11,1.8371973536758662e-13,0.76615470692010545,0.0098395576135115875,2.5086004331040724e-33,1.3002573361630785e-34,1.469324759600756e-22,6.004520077264629e-24
0.0082500000000000004,-0.19886107901491898,47.70181827997169,510.31048680787165,0.6865811895064284,0.00022882032174386641,4.5282348460501047e-09,1.6770456929868363e-06,0.19637920295403916,4.0604366430894045e-06,0.020551798985539629,2.9500413583567639e-06,2.31453758093594e-06,3.2133460588425779e-27,2.7702140882530956e-30,2.5353686954428692e-23,1.9767855560195886e-24,2.2112816414256289e-19,2.1627227591358013e-16,0.00014876010685987829,0.002982823922772345,8.5715287305870493e-16,7.0860324161282124e-15,1.3808079756027646e-23,3.2438873052770079e-20,4.7496717382062188e-18,3.073525281262383e-31,3.5411277364704825e-20,1.7441971217088839e-28,3.0336303450962906e-22,2.7244256856831147e-28,-2.4938476513967156e-25,1.9690881506413285e-23,1.2475709269128041e-18,1.9750501317256607e-20,2.4572147726013817e-16,1.9506382699984155e-14,4.1348454228133572e-14,4.672985371237027e-13,8.5072083047297412e-17,7.3423740708327608e-06,3.313500384627539e-06,3.6222006042333311e-08,2.7909729199560308e-10,6.3723709077689535e-21,1.6119026863695584e-10,1.663809750254899e-14,3.0712315888758041e-31,5.0112027705084522e-14,3.2436860210497797e-13,4.1164236459890047e-11,5.6351339061909438e-14,0.76980239490993807,0.0098844996306995062,3.853738331991057e-34,7.1114406762617811e-35,1.8441330735279051e-23,2.7567149141470016e-24
0.0083750000000000005,-0.18295736146651101,45.960983831254147,442.52142502807112,0.79355790447726,0.00019538855280702185,7.8805669277257883e-10,7.747510638162539e-07,0.20113058517867161,2.0526969102050276e-06,0.014090089024955604,1.3458504461580662e-06,1.527712897338253e-06,-8.3721527893686439e-29,1.1043492232111169e-31,5.1714897854619438e-24,3.6140143452071035e-25,7.6558274763590427e-20,1.438908927769272e-16,9.5959037881322449e-05,0.0017667619930679828,9.834551720639925e-17,3.5361895175089375e-15,3.4854846462883875e-24,9.5410002014191519e-21,2.8404444278079414e-18,7.4021627160917048e-33,2.1307129958668479e-20,2.0888382553623714e-29,1.7965520053197789e-22,-4.5646220499257733e-29,-2.2997857026334881e-25,4.466863110552189e-24,6.8342090793527836e-19,1.1082880605643647e-20,5.6280299507890542e-17,2.8599328501517108e-15,2.4763735283304522e-14,3.1370363344604835e-13,5.1257908146273307e-18,4.5478767070799442e-06,2.233741083218999e-06,2.1353155823035163e-08,1.4221962247826862e-10,2.234773843915343e-22,9.6156121806652094e-11,1.0260774239218865e-14,1.8169128795901347e-32,2.9593918148299468e-14,1.9155901592033966e-13,2.430702928936455e-11,1.6390720927064072e-14,0.77278820889583599,0.0099205022831844372,7.1504662341082721e-35,3.6301506657364683e-35,2.3408445397012807e-24,1.2637796834518689e-24
0.0085000000000000006,-0.17323484245440371,44.520114750240523,393.86884098013206,0.8931025325627061,0.00016444608996821048,1.6019735759919939e-10,3.7369463807003056e-07,0.20435815849062122,1.0856876014370578e-06,0.0093832877066968787,6.2763018646516239e-07,9.8399917209662993e-07,4.576366043397321e-27,4.5368265409229712e-33,1.1067114583904747e-24,6.9035905578106114e-26,2.7129959712194325e-20,9.3612473923654643e-17,6.0604051178469175e-05,0.0010233453273056417,1.2540577496997685e-17,1.7989032105099034e-15,1.0241689078151462e-24,2.4702012680267435e-21,1.6468362023839746e-18,2.2663154857262488e-34,1.2562542768480323e-20,3.0994285542401664e-30,1.0441121401773564e-22,-4.7116734994611082e-29,-1.8212354154833477e-25,1.0677357606410984e-24,3.6920952349661491e-19,6.0766818475572033e-21,1.3274960590746524e-17,4.027593557743775e-16,1.5248720626183339e-14,2.0540572058209556e-13,3.7938465744314153e-19,2.7871286932952856e-06,1.4276103541045332e-06,1.2312764659106813e-08,7.4637445835967253e-11,9.2432092075939328e-24,5.5867268066885026e-11,6.0308612084054401e-15,8.5004293983506247e-34,1.7094138352903684e-14,1.1064918715322247e-13,1.4039590075282767e-11,4.5185691213362023e-15,0.77505576585642655,0.0099470941092900857,1.4222956144115963e-35,1.8221708535147627e-35,3.2242962766398997e-25,5.8431889077325319e-25
