TITLE     = "kinetics example 1: constant-pressure ignition"
VARIABLES = 
"time (s)"
"Temperature (K)"
"Density (kg/m3)"
"Pressure (Pa)"
"H2"
"H"
"O"
"O2"
"OH"
"H2O"
"HO2"
"H2O2"
"C"
"CH"
"CH2"
"CH2(S)"
"CH3"
"CH4"
"CO"
"CO2"
"HCO"
"CH2O"
"CH2OH"
"CH3O"
"CH3OH"
"C2H"
"C2H2"
"C2H3"
"C2H4"
"C2H5"
"C2H6"
"HCCO"
"CH2CO"
"HCCOH"
"N"
"NH"
"NH2"
"NH3"
"NNH"
"NO"
"NO2"
"N2O"
"HNO"
"CN"
"HCN"
"H2CN"
"HCNN"
"HCNO"
"HOCN"
"HNCO"
"NCO"
"N2"
"AR"
"C3H7"
"C3H8"
"CH2CHO"
"CH3CHO"
ZONE T="zone1"
 I=101,J=1,K=1,F=POINT
DT=(  SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
0.0001 1001 0.257549 101325 0.285714 4.38052e-08 4.82142e-09 0.142857 1.58236e-09 1.55488e-07 1.1292e-07 5.29743e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.85269e-22 3.0915e-19 2.66284e-20 6.16312e-20 1.45331e-14 9.11854e-19 2.47875e-23 1.08448e-14 3.16285e-20 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00011 1001 0.257549 101325 0.285714 6.80583e-08 7.49272e-09 0.142857 2.46026e-09 2.45928e-07 1.76868e-07 8.52968e-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.01661e-22 7.48502e-19 6.46024e-20 1.51459e-19 2.25795e-14 2.21936e-18 9.56856e-23 1.71621e-14 7.67275e-20 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00012 1001 0.257549 101325 0.285714 1.056e-07 1.16274e-08 0.142857 3.82111e-09 3.86457e-07 2.75884e-07 1.36089e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.19168e-22 1.80509e-18 1.55984e-19 3.68748e-19 3.50346e-14 5.3703e-18 3.64141e-22 2.69732e-14 1.85241e-19 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00013 1001 0.257548 101325 0.285714 1.63748e-07 1.80312e-08 0.142856 5.93361e-09 6.04686e-07 4.29083e-07 2.15872e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.95044e-22 4.34369e-18 3.75591e-19 8.92499e-19 5.43266e-14 1.29495e-17 1.3727e-21 4.2194e-14 4.45969e-19 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00014 1001.01 0.257548 101325 0.285713 2.53908e-07 2.79592e-08 0.142856 9.2202e-09 9.43679e-07 6.65965e-07 3.41468e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.25031e-21 1.04434e-17 9.03206e-19 2.15257e-18 8.42393e-14 3.11685e-17 5.14256e-21 6.5797e-14 1.07219e-18 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00015 1001.01 0.257547 101325 0.285712 3.93922e-07 4.33741e-08 0.142855 1.43508e-08 1.4709e-06 1.03202e-06 5.40205e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.12988e-21 2.51157e-17 2.17172e-18 5.18223e-18 1.30693e-13 7.49841e-17 1.91889e-20 1.02404e-13 2.57705e-18 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00016 1001.01 0.257546 101325 0.285711 6.11882e-07 6.73639e-08 0.142855 2.24016e-08 2.29278e-06 1.5973e-06 8.57477e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.93972e-20 6.04899e-17 5.22716e-18 1.24705e-17 2.03009e-13 1.80532e-16 7.14351e-20 1.59222e-13 6.19917e-18 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 
0.00017 1001.02 0.257545 101325 0.28571 9.52446e-07 1.04832e-07 0.142853 3.51344e-08 3.57902e-06 2.46939e-06 1.37093e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.7364e-20 1.46112e-16 1.26112e-17 3.00348e-17 3.16007e-13 4.35588e-16 2.65647e-19 2.47542e-13 1.49427e-17 0 0 0 0 0 0 0 0 0.57143 0 0 0 0 0 
0.00018 1001.03 0.257542 101325 0.285707 1.48762e-06 1.63674e-07 0.142851 5.55118e-08 5.6044e-06 3.8129e-06 2.21826e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.46409e-19 3.54673e-16 3.05526e-17 7.25049e-17 4.93586e-13 1.05518e-15 9.87865e-19 3.85179e-13 3.61501e-17 0 0 0 0 0 0 0 0 0.571431 0 0 0 0 0 
0.00019 1001.05 0.257538 101325 0.285703 2.33594e-06 2.56854e-07 0.142848 8.87007e-08 8.82411e-06 5.87803e-06 3.65379e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.30982e-19 8.67725e-16 7.45173e-17 1.75769e-16 7.75096e-13 2.57296e-15 3.67749e-18 6.00547e-13 8.79749e-17 0 0 0 0 0 0 0 0 0.571432 0 0 0 0 0 
0.0002 1001.08 0.257532 101325 0.285696 3.69841e-06 4.06291e-07 0.142842 1.44152e-07 1.40166e-05 9.04057e-06 6.16699e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.61727e-18 2.14909e-15 1.83671e-16 4.29072e-16 1.22729e-12 6.33991e-15 1.37207e-17 9.39687e-13 2.16086e-16 0 0 0 0 0 0 0 0 0.571434 0 0 0 0 0 
0.00021 1001.12 0.257521 101325 0.285686 5.93003e-06 6.50533e-07 0.142834 2.40193e-07 2.25717e-05 1.38527e-05 1.07335e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.45329e-17 5.42385e-15 4.60137e-16 1.05897e-15 1.96811e-12 1.58804e-14 5.13746e-17 1.47899e-12 5.38338e-16 0 0 0 0 0 0 0 0 0.571437 0 0 0 0 0 
0.00022 1001.2 0.257503 101325 0.285668 9.69203e-06 1.06101e-06 0.14282 4.14822e-07 3.71129e-05 2.10904e-05 1.9341e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.11919e-17 1.40864e-14 1.18171e-15 2.65863e-15 3.21745e-12 4.08099e-14 1.93294e-16 2.34959e-12 1.37013e-15 0 0 0 0 0 0 0 0 0.571442 0 0 0 0 0 
